(229)XTY,45,13,20 --> 1
(230)XTY,46,14,20 --> 1
(231)XTY,47,15,20 --> 1
(232)XTY,48,0,20 --> 1
(233)XTY,49,1,20 --> 1
(234)XTY,50,2,20 --> 1
(235)XTY,51,3,20 --> 1
(236)XTY,52,4,20 --> 1
(237)XTY,53,5,20 --> 1
(238)XTY,54,6,20 --> 1
(239)XTY,55,7,20 --> 1
(240)XTY,56,8,20 --> 1
(241)XTY,57,9,20 --> 1
(242)XTY,58,10,20 --> 1
(243)XTY,59,11,20 --> 1
(244)XTY,60,12,20 --> 1
(245)XTY,61,13,20 --> 1
(246)XTY,62,14,20 --> 1
(247)XTY,63,15,20 --> 1
(248)XTY,64,0,20 --> 1
(249)XTY,65,1,20 --> 1
(250)XTY,66,2,20 --> 1
(251)XTY,67,3,20 --> 1
(252)XTY,68,4,20 --> 1
(253)XTY,69,5,20 --> 1
(254)XTY,70,6,20 --> 1
(255)XTY,71,7,20 --> 1
(256)XTY,72,8,20 --> 1
(257)XTY,73,9,20 --> 1
(258)XTY,74,10,20 --> 1
(259)XTY,75,11,20 --> 1
(260)XTY,76,12,20 --> 1
(261)XTY,77,13,20 --> 1
(262)XTY,78,14,20 --> 1
(263)XTY,79,15,20 --> 1
(264)XTY,80,0,20 --> 1
(265)XTY,81,1,20 --> 1
(266)XTY,82,2,20 --> 1
(267)XTY,83,3,20 --> 1
(268)XTY,84,4,20 --> 1
(269)XTY,85,5,20 --> 1
(270)XTY,86,6,20 --> 1
(271)XTY,87,7,20 --> 1
(272)XTY,88,8,20 --> 1
(273)XTY,89,9,20 --> 1
(274)XTY,90,10,20 --> 1
(275)XTY,91,11,20 --> 1
(276)XTY,92,12,20 --> 1
(277)XTY,93,13,20 --> 1
(278)XTY,94,14,20 --> 1
(279)XTY,95,15,20 --> 1
(280)XTY,96,0,20 --> 1
(281)XTY,97,1,20 --> 1
(282)XTY,98,2,20 --> 1
(283)XTY,99,3,20 --> 1
(284)XTY,100,4,20 --> 1
(285)XTY,101,5,20 --> 1
(286)XTY,102,6,20 --> 1
(287)XTY,103,7,20 --> 1
(288)XTY,104,8,20 --> 1
(289)XTY,105,9,20 --> 1
(290)XTY,106,10,20 --> 1
(291)XTY,107,11,20 --> 1
(292)XTY,108,12,20 --> 1
(293)XTY,109,13,20 --> 1
(294)XTY,110,14,20 --> 1
(295)XTY,111,15,20 --> 1
(296)XTY,112,0,20 --> 1
(297)XTY,113,1,20 --> 1
(298)XTY,114,2,20 --> 1
(299)XTY,115,3,20 --> 1
(300)XTY,116,4,20 --> 1
(301)XTY,117,5,20 --> 1
(302)XTY,118,6,20 --> 1
(303)XTY,119,7,20 --> 1
(304)XTY,120,8,20 --> 1
(305)XTY,121,9,20 --> 1
(306)XTY,122,10,20 --> 1
(307)XTY,123,11,20 --> 1
(308)XTY,124,12,20 --> 1
(309)XTY,125,13,20 --> 1
(310)XTY,126,14,20 --> 1
(311)XTY,127,15,20 --> 1
(312)XTY,128,0,20 --> 1
(313)XTY,129,1,20 --> 1
(314)XTY,130,2,20 --> 1
(315)XTY,131,3,20 --> 1
(316)XTY,132,4,20 --> 1
(317)XTY,133,5,20 --> 1
(318)XTY,134,6,20 --> 1
(319)XTY,135,7,20 --> 1
(320)XTY,136,8,20 --> 1
(321)XTY,137,9,20 --> 1
(322)XTY,138,10,20 --> 1
(323)XTY,139,11,20 --> 1
(324)XTY,140,12,20 --> 1
(325)XTY,141,13,20 --> 1
(326)XTY,142,14,20 --> 1
(327)XTY,143,15,20 --> 1
(328)XTY,144,0,20 --> 1
(329)XTY,145,1,20 --> 1
(330)XTY,146,2,20 --> 1
(331)XTY,147,3,20 --> 1
(332)XTY,148,4,20 --> 1
(333)XTY,149,5,20 --> 1
(334)XTY,150,6,20 --> 1
(335)XTY,151,7,20 --> 1
(336)XTY,152,8,20 --> 1
(337)XTY,153,9,20 --> 1
(338)XTY,154,10,20 --> 1
(339)XTY,155,11,20 --> 1
(340)XTY,156,12,20 --> 1
(341)XTY,157,13,20 --> 1
(342)XTY,158,14,20 --> 1
(343)XTY,159,15,20 --> 1
(344)XTY,160,0,20 --> 1
(345)XTY,161,1,20 --> 1
(346)XTY,162,2,20 --> 1
(347)XTY,163,3,20 --> 1
(348)XTY,164,4,20 --> 1
(349)XTY,165,5,20 --> 1
(350)XTY,166,6,20 --> 1
(351)XTY,167,7,20 --> 1
(352)XTY,168,8,20 --> 1
(353)XTY,169,9,20 --> 1
(354)XTY,170,10,20 --> 1
(355)XTY,171,11,20 --> 1
(356)XTY,172,12,20 --> 1
(357)XTY,173,13,20 --> 1
(358)XTY,174,14,20 --> 1
(359)XTY,175,15,20 --> 1
(360)XTY,176,0,20 --> 1
(361)XTY,177,1,20 --> 1
(362)XTY,178,2,20 --> 1
(363)XTY,179,3,20 --> 1
(364)XTY,180,4,20 --> 1
(365)XTY,181,5,20 --> 1
(366)CHOL,XBX --> 1
(367)DLACPY,0,20 --> 1
(368)INV,XBX --> 182
(369)XY,0,20 --> 1
(370)XY,1,20 --> 1
(371)XY,2,20 --> 1
(372)XY,3,20 --> 1
(373)XY,4,20 --> 1
(374)XY,5,20 --> 1
(375)XY,6,20 --> 1
(376)XY,7,20 --> 1
(377)XY,8,20 --> 1
(378)XY,9,20 --> 1
(379)XY,10,20 --> 1
(380)XY,11,20 --> 1
(381)XY,12,20 --> 1
(382)XY,13,20 --> 1
(383)XY,14,20 --> 1
(384)XY,15,20 --> 1
(385)XY,16,20 --> 1
(386)XY,17,20 --> 1
(387)XY,18,20 --> 1
(388)XY,19,20 --> 1
(389)XY,20,20 --> 1
(390)XY,21,20 --> 1
(391)XY,22,20 --> 1
(392)XY,23,20 --> 1
(393)XY,24,20 --> 1
(394)XY,25,20 --> 1
(395)XY,26,20 --> 1
(396)XY,27,20 --> 1
(397)XY,28,20 --> 1
(398)XY,29,20 --> 1
(399)XY,30,20 --> 1
(400)XY,31,20 --> 1
(401)XY,32,20 --> 1
(402)XY,33,20 --> 1
(403)XY,34,20 --> 1
(404)XY,35,20 --> 1
(405)XY,36,20 --> 1
(406)XY,37,20 --> 1
(407)XY,38,20 --> 1
(408)XY,39,20 --> 1
(409)XY,40,20 --> 1
(410)XY,41,20 --> 1
(411)XY,42,20 --> 1
(412)XY,43,20 --> 1
(413)XY,44,20 --> 1
(414)XY,45,20 --> 1
(415)XY,46,20 --> 1
(416)XY,47,20 --> 1
(417)XY,48,20 --> 1
(418)XY,49,20 --> 1
(419)XY,50,20 --> 1
(420)XY,51,20 --> 1
